name,value,year,lastValue,rank
Apple,214480,2018,211447.400000003,1
Apple,211447.400000003,2017.9,208414.799999999,1
Apple,208414.799999999,2017.8,205382.200000001,1
Apple,205382.200000001,2017.7,202349.599999997,1
Apple,202349.599999997,2017.6,199317,1
Apple,199317,2017.5,196284.400000003,1
Apple,196284.400000003,2017.4,193251.799999999,1
Apple,193251.799999999,2017.3,190219.200000001,1
Apple,190219.200000001,2017.2,187186.599999997,1
Apple,187186.599999997,2017.1,184154,1
Apple,184154,2017,183550.500000001,1
Apple,183550.500000001,2016.9,182947,1
Apple,182947,2016.8,182343.5,1
Apple,182343.5,2016.7,181739.999999999,1
Apple,181739.999999999,2016.6,181136.5,1
Apple,181136.5,2016.5,180533.000000001,1
Apple,180533.000000001,2016.4,179929.5,1
Apple,179929.5,2016.3,179326,1
Apple,179326,2016.2,178722.499999999,1
Apple,178722.499999999,2016.1,178119,1
Apple,178119,2016,177334.700000001,1
Apple,177334.700000001,2015.9,176550.4,1
Apple,176550.4,2015.8,175766.1,1
Apple,175766.1,2015.7,174981.799999999,1
Apple,174981.799999999,2015.6,174197.5,1
Apple,174197.5,2015.5,173413.200000001,1
Apple,173413.200000001,2015.4,172628.9,1
Apple,172628.9,2015.3,171844.6,1
Apple,171844.6,2015.2,171060.299999999,1
Apple,171060.299999999,2015.1,170276,1
Apple,170276,2015,165134.700000005,1
Apple,165134.700000005,2014.9,159993.399999998,1
Apple,159993.399999998,2014.8,154852.100000002,1
Google,155506,2018,154125.700000001,2
